050	U7uOLV5yOP0	672	Java -  Interface  and Abstract class Loopholes Part-7 ||Interface, Abstract class, constructor
051	Mp4Fy9TDU_Y	5199	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming)Part-1||Introduction||data hiding
052	7m5WIj3lpcE	4729	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-2 || Inheritance||is a relationship
053	2GM56vHVLzM	4917	Core Java With OCJP/SCJP:OOPs(Object Oriented Programming)Part-3 || Inheritance||has a relationship
054	tSv-XlP_1JA	4060	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming)Part-4 ||overloading
055	MYzaDgNGmTg	4958	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-5 ||overriding
056	1By_hC3ONt8	5025	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-6 ||overriding ||access modifiers
057	SrveBABPMFc	6552	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-7||overriding ||varargs method
058	HpJTGW9AwX0	5597	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-8||coupling
059	CrVLBpKIe0E	2489	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-9||type casting
060	B_tYO3Yn61U	2925	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-10 ||static control flow
061	T-vbOoCzxI4	4260	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-11 ||static block
062	q4hbAd7cHuQ	3998	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-12 || instance control flow
063	KFKQNiOEepo	2729	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-13 || instance, static control flow
064	XWjhxt6ijLI	3897	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-14 || constructors
065	misWPx3VTGI	2936	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-15 || default constructor
066	9qA_MNNqkK0	4321	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-16 || overloaded constructor
067	SniLNfFejiU	2118	Core Java With OCJP/SCJP: OOPs(Object Oriented Programming) Part-17 || singleton class
068	5NQjLBuNL0I	38011	Object Oriented Programming (OOPs) Concepts In Java || by Durga sir
069	Jll2gxAdfxI	8825	Constructors in java | default constructor | Constructor Overloading
070	zg4jYJjNEYI	3293	Core Java with OCJP/SCJP: Exception Handling Part-1 || Introduction
071	46VtqhXIaeA	4544	Core Java with OCJP/SCJP: Exception Handling Part-2 || Default Exception Handling
072	piqjRl-Dngc	3764	Core Java with OCJP/SCJP: Exception Handling Part-3A || Checked vs Unchecked Exceptions
073	GljHUIBS9YY	4499	Core Java with OCJP/SCJP: Exception Handling Part-3B|| Customized Exception Haning by try-catch
074	2ui_RS0Q7x4	2860	Core Java with OCJP/SCJP: Exception Handling Part-4 || finally block
075	4BkGDX_BvDY	3013	Core Java with OCJP/SCJP: Exception Handling Part-5 || throw and throws
076	ogOy-dU8AmY	5971	Core Java with OCJP/SCJP: Exception Handling Part-6 || throws keyword
077	t-9RCfuHsAk	3945	Core Java with OCJP/SCJP: Exception Handling Part-7 || Customized Exceptions
078	b_o6NeSn8pU	3173	Core Java with OCJP/SCJP: Exception Handling Part-8 || Top-10 Exceptions in java
079	0n4Rh2Anlbw	6690	Core Java with OCJP/SCJP: Exception Handling Part-9 || try with resources and multi-catch block
080	VHi9PedZCq8	36319	Java Exception Handling For  Certification & Interviews || Java Exception Handling || by Durga Sir
081	Hysb7hXp8B0	3620	Core Java with OCJP/SCJP: Multi Threading Part-1 || Introduction
082	fd3TAYCHRfw	6296	Core Java with OCJP/SCJP: Multi Threading Part-2 || The ways of defining a Thread Part-1
083	8xnNgR0zeS8	4734	Core Java with OCJP/SCJP: Multi Threading Part-3 || The ways of defining a Thread Part-2
084	DpM_wER1gAY	3516	Core Java with OCJP/SCJP: Multi Threading Part-4 || Thread Priorities
085	AZuwWOURi2Y	6567	Core Java with OCJP/SCJP: Multi Threading Part-5 || yield() || join()
086	naQZrm9XNFI	6394	Core Java with OCJP/SCJP: Multi Threading Part-6 || join() || sleep() || Thread Interruption
087	equLV2F0vLA	5715	Core Java with OCJP/SCJP: Multi Threading Part-7 || synchronization part-1
088	945WfTjpF2w	3223	Core Java with OCJP/SCJP: Multi Threading Part-8 || synchronization part-2
089	ORzmjiYmOJg	4367	Core Java with OCJP/SCJP: Multi Threading Part-9 || synchronized block
090	Ev0mltHfYh0	4706	Core Java with OCJP/SCJP: Multi Threading Part-10 || Inter Thread Communication Part-1
091	2z218xjvw1M	5086	Core Java with OCJP/SCJP: Multi Threading Part-11 || Inter Thread Communication Part-2
092	4U9FUlpvg_U	3306	Core Java with OCJP/SCJP: Multi Threading Part-12 || DeadLock || Starvation
093	u5OunWJhKoE	3020	Core Java with OCJP/SCJP: Multi Threading Part-13 || Daemon Threads
094	21KT--VtawI	2156	Core Java with OCJP/SCJP: Multi Threading Part-14 || Green Thread,stop(),suspend(),resume()
095	B2L-vVpFP7Y	5334	Core Java With OCJP/SCJP: Multithreading Enhancement  Part- 1|| Introduction || Thread Group
096	OXDYAHLftRw	2755	Core Java With OCJP/SCJP: Multithreading Enhancement  Part- 2|| java.util.concurrent package
097	q8kaFJ8-zVo	5810	Core Java With OCJP/SCJP: Multithreading Enhancement  Part- 3|| java.util.concurrent.locks
098	Qgz6p-y-YUE	3627	Core Java With OCJP/SCJP: Multithreading Enhancement  Part- 4|| java thread pools
099	4ZLkbWWpkyk	4308	Core Java With OCJP/SCJP: Multithreading Enhancement  Part- 5|| java thread local
100	DcFWgoKs5B0	4919	Core Java With OCJP/SCJP: Innerclass  Part- 1||Introduction
101	pRsqR3vQvBM	5411	Core Java With OCJP/SCJP: Innerclass  Part- 2||normal innerclass||regular innerclass
102	QSvPY-Y71-k	5478	Core Java With OCJP/SCJP: Innerclass  Part- 3||anonymous inner class
103	yB7dt-DDOgI	4418	Core Java With OCJP/SCJP: Innerclass  Part- 4||normal java class Vs anonymous inner class
104	V3fhKrL8fy8	3629	Core Java With OCJP/SCJP: Innerclass  Part- 5||nested classes and interfaces
105	-qrKA1aWMZs	5212	Core Java With OCJP/SCJP: java.lang.package Part-1 || Introduction||object class||toString()
106	r6G5Pz0yMH4	3109	Core Java With OCJP/SCJP: java.lang.package Part-2 || object class||Hashcode()
107	izDt7L4009k	5304	Core Java With OCJP/SCJP: java.lang.package Part-3 || eqals()||overridden methods of eqals
108	3gQdOltJ89k	2069	Core Java With OCJP/SCJP: java.lang.package Part-4 || object class||finalize()||getclass()||notify()
109	cI2JVbEWGy8	4567	Core Java With OCJP/SCJP: java.lang.package Part-5 ||  Strings class
110	7zeOxAl19bg	6197	Core Java With OCJP/SCJP: java.lang.package Part-6 ||  Strings class || Strings class constructor
111	JEaVfaRJiZw	6121	Core Java With OCJP/SCJP: java.lang.package Part-7 || Strings||constructors of StringsBuffer
112	P5tFJ9umhvk	23587	String, StringBuffer & StringBuilder for JAVA Certification & Interviews
113	UHq63fU4NVU	6218	Core Java With OCJP/SCJP: java.lang.package Part-8 || wrapper class||wrapper objects
114	pmemJ6QfWjo	3591	Core Java With OCJP/SCJP: java.lang.package Part-9 || wrapper class||Utility methods
115	gk1bQSgiBpw	4664	Core Java With OCJP/SCJP: java.lang.package Part-10 || Autoboxing||Autounboxing-1
116	tcHVFR5OzD8	2761	Core Java With OCJP/SCJP: java.lang.package Part-11 || Autoboxing||Autounboxing-2
117	wJgua6AobQU	5325	Core Java With OCJP/SCJP: java.lang.package Part-12 || object class || equals() || Hashcode()
118	L-p-RGTNrZg	5383	Core Java With OCJP/SCJP: java.lang.package Part-13 || object class || clone()
119	oEAiBx_06SA	5609	Core Java With OCJP/SCJP: java.lang.package Part-14 ||String class
120	rxo1SZmq9VE	4346	Core Java With OCJP/SCJP: File I/O  Part-1|| Introduction || File
121	QT8DCW5ZFxI	2770	Core Java With OCJP/SCJP: File I/O  Part-2||Filewriter||importent methods
122	Zw71nmiWkJ0	5179	Core Java With OCJP/SCJP: File I/O  Part-3||FileReader||importent methods||Bufferedwriter
123	JN7-L3ZEnTw	4093	Core Java With OCJP/SCJP: File I/O  Part- 4||Printwriter
